City,Population,Area,Density
Stockholm,975551,188,5189.101063829788
Göteborg,583056,450,1295.68
Malmö,347949,77,4518.818181818182
Uppsala,233839,49,4772.224489795918
Västerås,150000,52,2884.6153846153848
Örebro,124207,47,2642.7021276595747
Linköping,164616,42,3919.4285714285716
Helsingborg,145789,38,3836.5526315789475
Norrköping,137326,35,3923.6
Jönköping,142427,44,3236.9772727272725
Lund,124935,26,4805.192307692308
Umeå,128430,34,3777.3529411764707
Gävle,102418,41,2498.0
Borås,113884,29,3927.0344827586205
Eskilstuna,107005,29,3689.8275862068967
Södertälje,103656,25,4146.24
Karlstad,94753,30,3158.4333333333334
Täby,68253,25,2730.12
Växjö,70047,30,2334.9
Halmstad,72000,33,2181.818181818182
Paris,2196936,105.4,20832
Marseille,863310,240.6,3588
Lyon,516092,47.9,10774
Toulouse,479553,118.3,4053
Nice,342439,71.9,4767
Nantes,306694,65.2,4704
Strasbourg,280966,78.3,3589
Montpellier,281613,57.4,4904
Bordeaux,257068,49.4,5208
Lille,232787,34.8,6689
Rennes,217728,50.4,4320
Reims,182460,46.9,3893
Le Havre,170147,46.9,3627
Saint-Étienne,172023,79.9,2152
Toulon,171953,42.8,4016
Grenoble,161671,18.1,8935
Dijon,155114,40.4,3841
Angers,153633,42.7,3597
Nîmes,151075,161.9,933
Villeurbanne,151019,14.5,10414
